Id;CAS;SMILES;Status;Experimental value [-log(mol/l)];Predicted value [-log(mol/l)];;;Testing Molecule;Training Molecule;Similarity score;Accuracy(pred);Concordance;Max Error;Atom Centered;Descriptor Range 
1;112-05-0;CCCCCCCCC(O)=O;Test;3.28;3.769.513;;;CCCCCCCCC(O)=O;CCCCCCCC\C=C/CCCCCCCC(O)=O;0.739;0.65;1.301;;;
2;53939-28-9;CCCC\C=C/CCCCCCCCCC=O;Training;6.04;5.874.611;;;CCCCOC(C)COC(=O)COC1=C(Cl)C=C(Cl)C=C1;CCCCOCCOC(=O)COC1=C(Cl)C=C(Cl)C=C1;0.68;0.515;1.03;;;
3;118-52-5;CC1(C)N(Cl)C(=O)N(Cl)C1=O;Training;6.32;40.875.854;;;CCCCCCCCN1SC(Cl)=C(Cl)C1=O;CCCCCCCCN1SC=CC1=O;0.447;0.411;0.823;;;
4;542-75-6;[H]\C(Cl)=C(\[H])C([H])([H])Cl;Training;6.95;56.377.754;;;ClC(Cl)(Cl)S(=O)(=O)C(Cl)(Cl)Cl;CC(Cl)(Cl)Cl;0.230;1.023;2.047;;;
5;86-87-3;OC(=O)CC1=C2C=CC=CC2=CC=C1;Training;3.03;38.379.107;;;CCCCCCCC(=O)OC1=C(Br)C=C(C=C1Br)C#N;CCCCCCC(=O)OC1=C(Br)C=C(C=C1Br)C#N;1.0;0.175;0.350;;;
6;94-75-7;OC(=O)COC1=C(Cl)C=C(Cl)C=C1;Training;4.21;38.758.335;;;CNC(=O)OC1=CC=CC2=C1OC(C)(C)C2;CNC(=O)OC1=CC=CC2=C1OC(C)(C)O2;0.590;0.228;0.456;;;
8;1320-18-9;CCCCOC(C)COC(=O)COC1=C(Cl)C=C(Cl)C=C1;Test;6.13;61.940.103;;;CC1=C(SCCO1)C(=O)NC1=CC=CC=C1;O=C(NC1=CN=NS1)NC1=CC=CC=C1;0.306;0.099;0.199;;;
10;1929-73-3;CCCCOCCOC(=O)COC1=C(Cl)C=C(Cl)C=C1;Training;5.11;61.314.225;;;COC1=CC(Cl)=C(OC)C=C1Cl;OC1=CC(Cl)=CC=C1OC1=C(Cl)C=C(Cl)C=C1;0.3;0.068;0.136;;;
13;120-32-1;OC1=C(CC2=CC=CC=C2)C=C(Cl)C=C1;Training;6.29;4.348.823;;;COP(=S)(OC)OC1=C(Cl)C=C(Cl)C(Cl)=N1;OC(=O)COC1=NC(Cl)=C(Cl)C=C1Cl;0.384;2.765;5.53;;;
14;7745-89-3;CC1=C(Cl)C=C(N)C=C1;Training;7.36;5.125.755;;;ClC1=CC=CC(Cl)=C1C#N;ClC1=C(Cl)C(C#N)=C(Cl)C(C#N)=C1Cl;0.409;0.393;0.787;;;
16;64359-81-5;CCCCCCCCN1SC(Cl)=C(Cl)C1=O;Test;9.05;5.835.041;;;COP(=O)(OC)O\C(C)=C\C(=O)N(C)C;CCN(CC)C(=O)C(\Cl)=C(\C)OP(=O)(OC)OC;0.365;0.479;0.959;;;
17;88-04-0;CC1=CC(O)=CC(C)=C1Cl;Training;4.68;39.985.647;;;CN1C(=CC(C2=CC=CC=C2)=[N+]1C)C1=CC=CC=C1;CN1C=C(C2=CC=CC=C2)C(=O)C(=C1)C1=CC(=CC=C1)C(F)(F)F;0.255;0.576;1.152;;;
20;34256-82-1;CCOCN(C(=O)CCl)C1=C(C)C=CC=C1CC;Training;4.94;4.512.822;;;OC1=C(C2CC(CC3=C2C=CC=C3)C2=CC=C(C=C2)C2=CC=C(Br)C=C2)C(=O)SC2=CC=CC=C12;OC(CC(C1=CC=CC=C1)C1=C(O)C2=CC=CC=C2OC1=O)C1=CC=C(C=C1)C1=CC=C(Br)C=C1;0.266;0.642;1.284;;;
21;15972-60-8;CCC1=CC=CC(CC)=C1N(COC)C(=O)CCl;Training;4.42;44.883.814;;;O=C(C(C1=CC=CC=C1)C1=CC=CC=C1)C1C(=O)C2=C(C=CC=C2)C1=O;ClC1=CC=C(C=C1)C(C(=O)C1C(=O)C2=C(C=CC=C2)C1=O)C1=CC=CC=C1;0.8125;0.376;0.753;;;
22;116-06-3;CNC(=O)O\N=C\C(C)(C)SC;Training;6.41;52.456.427;;;CSC(=O)C1=C(CC(C)C)C(C(=O)SC)=C(N=C1C(F)(F)F)C(F)F;COC(=O)C1=C(N=C(C(C2=NCCS2)=C1CC(C)C)C(F)(F)F)C(F)F;0.466;0.440;0.881;;;
23;1646-88-4;CNC(=O)O\N=C\C(C)(C)S(C)(=O)=O;Training;6.71;43.644.886;;;CCOC(=O)NCCOC1=CC=C(OC2=CC=CC=C2)C=C1;CC(COC1=CC=C(OC2=CC=CC=C2)C=C1)OC1=NC=CC=C1;0.326;0.265;0.530;;;
25;834-12-8;CCNC1=NC(NC(C)C)=NC(SC)=N1;Training;4.16;45.678.124;;;CC1(C)CN\C(NC1)=N\N=C(\C=C\C1=CC=C(C=C1)C(F)(F)F)/C=C/C1=CC=C(C=C1)C(F)(F)F;CN(C)C(=O)NC1=CC=CC(=C1)C(F)(F)F;0.224;0.574;1.148;;;
26;33089-61-1;CN(\C=N\C1=CC=C(C)C=C1C)\C=N\C1=C(C)C=C(C)C=C1;Training;8.01;6.128.614;;;CSC1=NC(NC2CC2)=NC(NC(C)(C)C)=N1;CCNC1=NC(NC(C)C)=NC(SC)=N1;0.348;0.527;1.055;;;
27;101-05-3;ClC1=NC(NC2=C(Cl)C=CC=C2)=NC(Cl)=N1;Training;6.07;55.240.088;;;CCCN(CCC)C1=C(C=C(C=C1[N+]([O-])=O)C(C)C)[N+]([O-])=O;CCCN(CCC)C1=C(C=C(C=C1[N+]([O-])=O)S(N)(=O)=O)[N+]([O-])=O;0.6;0.321;0.643;;;
30;22781-23-3;CNC(=O)OC1=CC=CC2=C1OC(C)(C)O2;Training;7.96;47.072.473;;;C\C(C)=C/CC\C(C)=C\CCC(C)(O)C=C;C\C(C)=C\CC\C(C)=C\CC\C(C)=C\CO;0.516;0.215;0.430;;;
32;741-58-2;CC(C)OP(=S)(OC(C)C)SCCNS(=O)(=O)C1=CC=CC=C1;Training;6.63;73.761.296;;;[H][C@](CC1=CC=C(Cl)C=C1)([C@@H](O)C(C)(C)C)N1C=NC=N1;CC(C)(C)C(O)(CCC1=CC=C(Cl)C=C1)CN1C=NC=N1;0.442;0.039;0.078;;;
33;68359-37-5;CC1(C)[C@@H](\C=C(\Cl)Cl)[C@H]1C(=O)O[C@H](C#N)C1=CC(OC2=CC=CC=C2)=C(F)C=C1;Training;11.3;9.263.448;;;CSC1=NC(NC(C)C)=NC(NC(C)C)=N1;CCNC1=NC(NC(C)C)=NC(SC)=N1;0.75;0.545;1.09;;;
34;3064-70-8;ClC(Cl)(Cl)S(=O)(=O)C(Cl)(Cl)Cl;Test;7.14;57.835.736;;;CCCC(=N/OCC)\C1=C(O)CC(CC(C)SCC)CC1=O;CCOC(=O)C(C)OC1=CC=C(OC2=NC3=CC=C(Cl)C=C3O2)C=C1;0.197;0.560;1.121;;;
35;314-40-9;CCC(C)N1C(=O)NC(C)=C(Br)C1=O;Training;3.42;44.887.347;;;SC1=NC2=C(S1)C=CC=C2;N#CSCSC1=NC2=CC=CC=C2S1;0.405;0.749;1.499;;;
36;1689-84-5;OC1=C(Br)C=C(C=C1Br)C#N;Training;4.48;4.722.699;;;OC(=O)CF;CCC(O)=O;0.428;0.088;0.176;;;
37;1689-99-2;CCCCCCCC(=O)OC1=C(Br)C=C(C=C1Br)C#N;Test;7.55;70.407.324;;;CCN(CC)C(=O)SCC1=CC=C(Cl)C=C1;CCCCN(CC)C(=O)SCCC;0.333;1.035;2.07;;;
38;3861-41-4;CCCC(=O)OC1=C(Br)C=C(C=C1Br)C#N;Training;7.14;68.697.352;;;CCN1CN(CC)CN(CC)C1;CCC12COCN1COC2;0.2;0.863;1.726;;;
39;52-51-7;OCC(Br)(CO)[N+]([O-])=O;Training;5.69;4.511.331;;;O=CC1=CC=CC=C1C=O;C1=CC2=CC=CC=C2C=C1;0.3125;0.290;0.581;;;
43;133-06-2;ClC(Cl)(Cl)SN1C(=O)C2CC=CCC2C1=O;Training;4.98;56.086.516;;;OC1=C(C2CC(CC3=C2C=CC=C3)C2=CC=C(C=C2)C2=CC=C(Br)C=C2)C(=O)OC2=C1C=CC=C2;OC(CC(C1=CC=CC=C1)C1=C(O)C2=CC=CC=C2OC1=O)C1=CC=C(C=C1)C1=CC=C(Br)C=C1;0.417;0.539;1.079;;;
44;63-25-2;CNC(=O)OC1=C2C=CC=CC2=CC=C1;Training;8.83;5.607.544;;;CCCCC(CC)CN1C(=O)C2C3CC(C=C3)C2C1=O;CCCCCCCCN1SC=CC1=O;0.24;0.754;1.508;;;
46;1563-66-2;CNC(=O)OC1=CC=CC2=C1OC(C)(C)C2;Test;7.96;51.220.775;;;CN(C)C(=O)OC1=NC(=NC(C)=C1C)N(C)C;CNC(=O)OC1=CC(=CC=C1)\N=C/N(C)C;0.203;1.129;2.259;;;
47;5234-68-4;CC1=C(SCCO1)C(=O)NC1=CC=CC=C1;Test;3.58;5.162.681;;;OCCNCO;OC(=O)CNCP(O)(O)=O;0.192;0.098;0.197;;;
48;02/01/2439;CC1=CC2=NC3=C(SC(=O)S3)N=C2C=C1;Training;7.21;5.857.677;;;CCOP(=S)(OCC)OC1=CC2=C(C=C1)C(C)=C(Cl)C(=O)O2;COP(=S)(OC)OC1=CC(C)=C(C=C1)[N+]([O-])=O;0.315;0.364;0.729;;;
49;143-50-0;ClC12C(=O)C3(Cl)C4(Cl)C1(Cl)C1(Cl)C2(Cl)C3(Cl)C4(Cl)C1(Cl)Cl;Training;7.19;69.688.973;;;CCOC1=CC=C(C=C1)C(C)(C)COCC1=CC=CC(OC2=CC=CC=C2)=C1;CC(COC1=CC=C(OC2=CC=CC=C2)C=C1)OC1=NC=CC=C1;0.298;0.804;1.608;;;
51;55-56-1;ClC1=CC=C(NC(=N)NC(=N)NCCCCCCNC(=N)NC(=N)NC2=CC=C(Cl)C=C2)C=C1;Training;8.12;7.388.668;;;CC1=NC2=NC(=NN2C=C1)S(=O)(=O)NC1=C(F)C=CC=C1F;COC1=NC(NC(=O)NS(=O)(=O)C2=CC=CC=C2Cl)=NC(C)=N1;0.202;0.822;1.645;;;
53;2675-77-6;COC1=CC(Cl)=C(OC)C=C1Cl;Test;4.94;5.451.799;;;CC(C)(C)N(NC(=O)C1=CC=C(Cl)C=C1)C(=O)C1=CC=CC=C1;COC1=CC=CC(C(=O)NN(C(=O)C2=CC(C)=CC(C)=C2)C(C)(C)C)=C1C;0.388;0.020;0.040;;;
54;3691-35-8;ClC1=CC=C(C=C1)C(C(=O)C1C(=O)C2=C(C=CC=C2)C1=O)C1=CC=CC=C1;Training;6.76;56.054.516;;;FC(F)C(F)(F)OC1=C(Cl)C=C(NC(=O)NC(=O)C2=C(F)C=CC=C2F)C=C1Cl;FC1=CC=CC(F)=C1C(=O)NC(=O)NC1=CC=C(Cl)C=C1;0.586;0.943;1.887;;;
57;101-21-3;CC(C)OC(=O)NC1=CC=CC(Cl)=C1;Training;5.25;56.256.495;;;CNC(=O)OC1=CC(C)=C(SC)C(C)=C1;CNC(=O)OC1=CC(C)=CC(C)=C1C;0.459;0.083;0.166;;;
59;5598-13-0;COP(=S)(OC)OC1=C(Cl)C=C(Cl)C(Cl)=N1;Test;9.98;8.793.252;;;CCCCCCCCSC(=O)OC1=C(N=NC(Cl)=C1)C1=CC=CC=C1;CCCCOCCOC(=O)COC1=C(Cl)C=C(Cl)C=C1;0.268;1.291;2.583;;;
63;81777-89-1;CC1(C)CON(CC2=CC=CC=C2Cl)C1=O;Training;5.12;45.882.564;;;OC(=O)C1=C(Cl)C=CC2=C1N=CC(Cl)=C2;COC1=C(Cl)C=CC(Cl)=C1C(O)=O;0.384;0.930;1.860;;;
67;1134-23-2;CCSC(=O)N(CC)C1CCCCC1;Training;4.21;50.965.023;;;OC1=C(C=CC=C1)C1=CC=CC=C1;O[Sn](C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1;0.318;1.245;2.49;;;
68;13121-70-5;O[Sn](C1CCCCC1)(C1CCCCC1)C1CCCCC1;Training;11.13;8.733.158;;;[H][C@]1(O[C@@H]2O[C@@H](C)[C@](O)(C=O)[C@H]2O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2NC)[C@H](O)[C@@H](O)[C@H](NC(N)=N)[C@@H](O)[C@@H]1NC(N)=N;C\C(C)=C\[C@@H]1[C@@H](C(=O)OCN2C(=O)C3=C(CCCC3)C2=O)C1(C)C;0.142;1.346;2.693;;;
69;57966-95-7;CCNC(=O)NC(=O)C(=N\OC)\C#N;Training;4.09;35.271.175;;;CC(=O)CC(C1=CC=CC=C1)C1=C(O)C2=C(OC1=O)C=CC=C2;OC(CC(C1=CC=CC=C1)C1=C(O)C2=CC=CC=C2OC1=O)C1=CC=C(C=C1)C1=CC=C(Br)C=C1;0.547;0.359;0.718;;;
72;121552-61-2;CC1=CC(=NC(NC2=CC=CC=C2)=N1)C1CC1;Training;7.92;57.504.234;;;;;;;;;;
73;1596-84-5;CN(C)NC(=O)CCC(O)=O;Training;3.27;30.519.934;;;;;;;;;;
75;10222-01-2;NC(=O)C(Br)(Br)C#N;Training;6.13;5.479.523;;;;;;;;;;
76;50-29-3;ClC1=CC=C(C=C1)C(C1=CC=C(Cl)C=C1)C(Cl)(Cl)Cl;Training;9.24;67.623.596;;;;;;;;;;
81;35691-65-7;BrCC(Br)(CCC#N)C#N;Training;5.66;5.655.619;;;;;;;;;;
83;1194-65-6;ClC1=CC=CC(Cl)=C1C#N;Test;4.84;59.319.725;;;;;;;;;;
87;99-30-9;NC1=C(Cl)C=C(C=C1Cl)[N+]([O-])=O;Training;5.56;51.995.234;;;;;;;;;;
88;141-66-2;COP(=O)(OC)O\C(C)=C\C(=O)N(C)C;Test;8.46;7.901.811;;;;;;;;;;
90;2227-17-0;ClC1=C(Cl)C(Cl)(C(Cl)=C1Cl)C1(Cl)C(Cl)=C(Cl)C(Cl)=C1Cl;Training;6.32;69.605.355;;;;;;;;;;
91;119446-68-3;CC1COC(CN2C=NC=N2)(O1)C1=CC=C(OC2=CC=C(Cl)C=C2)C=C1Cl;Training;6.48;6.394.108;;;;;;;;;;
92;49866-87-7;CN1C(=CC(C2=CC=CC=C2)=[N+]1C)C1=CC=CC=C1;Test;5.75;5.699.522;;;;;;;;;;
93;104653-34-1;OC1=C(C2CC(CC3=C2C=CC=C3)C2=CC=C(C=C2)C2=CC=C(Br)C=C2)C(=O)SC2=CC=CC=C12;Test;9.51;62.620.606;;;;;;;;;;
94;109293-97-2;C\C(=N/NC(=O)NC1=CC(F)=CC(F)=C1)C1=NC=CC=C1C(O)=O;Training;4.76;42.382.345;;;;;;;;;;
95;87674-68-8;COCC(C)N(C(=O)CCl)C1=C(C)SC=C1C;Training;4.74;46.877.637;;;;;;;;;;
98;82-66-6;O=C(C(C1=CC=CC=C1)C1=CC=CC=C1)C1C(=O)C2=C(C=CC=C2)C1=O;Test;5.92;5.558.591;;;;;;;;;;
101;97886-45-8;CSC(=O)C1=C(CC(C)C)C(C(=O)SC)=C(N=C1C(F)(F)F)C(F)F;Test;4.75;5.392.913;;;;;;;;;;
104;4080-31-3;Cl\C=C\C[N+]12CN3CN(CN(C3)C1)C2;Training;4.02;36.603.506;;;;;;;;;;
110;55283-68-6;CCN(CC(C)=C)C1=C(C=C(C=C1[N+]([O-])=O)C(F)(F)F)[N+]([O-])=O;Training;7.8;597.403;;;;;;;;;;
111;563-12-2;CCOP(=S)(OCC)SCSP(=S)(OCC)OCC;Training;11.75;10.359.325;;;;;;;;;;
116;4602-84-0;C\C(C)=C\CC\C(C)=C\CC\C(C)=C\CO;Training;5.57;5.450.198;;;;;;;;;;
119;60168-88-9;OC(C1=CC=C(Cl)C=C1)(C1=CN=CN=C1)C1=C(Cl)C=CC=C1;Training;5.16;5.107.784;;;;;;;;;;
120;13356-08-6;CC(C)(C[Sn](CC(C)(C)C1=CC=CC=C1)(CC(C)(C)C1=CC=CC=C1)O[Sn](CC(C)(C)C1=CC=CC=C1)(CC(C)(C)C1=CC=CC=C1)CC(C)(C)C1=CC=CC=C1)C1=CC=CC=C1;Training;8.79;8.517.485;;;;;;;;;;
122;66441-23-4;CCOC(=O)C(C)OC1=CC=C(OC2=NC3=CC=C(Cl)C=C3O2)C=C1;Training;5.63;6.942.207;;;;;;;;;;
123;79127-80-3;CCOC(=O)NCCOC1=CC=C(OC2=CC=CC=C2)C=C1;Test;6.68;6.402.878;;;;;;;;;;
124;39515-41-8;CC1(C)C(C(=O)OC(C#N)C2=CC(OC3=CC=CC=C3)=CC=C2)C1(C)C;Training;10.44;8.901.397;;;;;;;;;;
125;68254-10-4;[H]C1=C([H])C(=C([H])C([H])=C1Cl)N1N=C(C(O)=O)C(=O)C([H])=C1C([H])([H])[H];Training;3.23;34.994.066;;;;;;;;;;
126;55-38-9;COP(=S)(OC)OC1=CC(C)=C(SC)C=C1;Training;9.05;871.021;;;;;;;;;;
127;76-87-9;O[Sn](C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1;Training;8.84;8.748.393;;;;;;;;;;
131;131341-86-1;FC1(F)OC2=C(O1)C(=CC=C2)C1=CNC=C1C#N;Training;6.12;42.768.645;;;;;;;;;;
133;59756-60-4;CN1C=C(C2=CC=CC=C2)C(=O)C(=C1)C1=CC(=CC=C1)C(F)(F)F;Training;5.39;52.511.964;;;;;;;;;;
134;56425-91-3;CC(C)C(O)(C1=CC=C(OC(F)(F)F)C=C1)C1=CN=CN=C1;Training;4.82;45.027.566;;;;;;;;;;
137;133-07-3;ClC(Cl)(Cl)SN1C(=O)C2=C(C=CC=C2)C1=O;Training;8.33;60.621.786;;;;;;;;;;
138;944-22-9;CCOP(=S)(CC)SC1=CC=CC=C1;Training;9.51;76.028.733;;;;;;;;;;
139;22259-30-9;CNC(=O)OC1=CC(=CC=C1)\N=C/N(C)C;Training;7.44;5.086.881;;;;;;;;;;
140;59682-52-9;CCOP(O)(=O)C(N)=O;Training;1.79;386.338;;;;;;;;;;
143;1071-83-6;OC(=O)CNCP(O)(O)=O;Training;3.13;24.968.169;;;;;;;;;;
145;53042-79-8;CCCC\C=C\CC\C=C/CCCCCCOC(C)=O;Training;6.32;6.478.387;;;;;;;;;;
146;67485-29-4;CC1(C)CN\C(NC1)=N\N=C(\C=C\C1=CC=C(C=C1)C(F)(F)F)/C=C/C1=CC=C(C=C1)C(F)(F)F;Test;6.38;6.622.555;;;;;;;;;;
147;81405-85-8;COC(=O)C1=C(C=C(C)C=C1)C1=NC(C)(C(C)C)C(=O)N1;Training;3.15;506.269;;;;;;;;;;
148;81335-37-7;CC(C)C1(C)N=C(NC1=O)C1=NC2=CC=CC=C2C=C1C(O)=O;Training;3.06;35.857.317;;;;;;;;;;
151;28159-98-0;CSC1=NC(NC2CC2)=NC(NC(C)(C)C)=N1;Test;5.15;5.961.662;;;;;;;;;;
152;25311-71-1;CCOP(=S)(NC(C)C)OC1=C(C=CC=C1)C(=O)OC(C)C;Training;9.33;8.244.628;;;;;;;;;;
153;33820-53-0;CCCN(CCC)C1=C(C=C(C=C1[N+]([O-])=O)C(C)C)[N+]([O-])=O;Test;6.91;62.317.524;;;;;;;;;;
157;29457-72-5;OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F;Training;4.13;4.619.261;;;;;;;;;;
158;121-75-5;CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC;Training;10.06;8.667.757;;;;;;;;;;
163;950-37-8;COC1=NN(CSP(=S)(OC)OC)C(=O)S1;Training;8.97;8.429.717;;;;;;;;;;
165;16752-77-5;CNC(=O)O\N=C(/C)SC;Training;8.46;5.107.943;;;;;;;;;;
168;71-55-6;CC(Cl)(Cl)Cl;Training;4.38;52.837.777;;;;;;;;;;
169;6317-18-6;N#CSCSC#N;Training;7.5;64.138.727;;;;;;;;;;
171;87392-12-9;CCC1=C(N(C(C)COC)C(=O)CCl)C(C)=CC=C1;Training;4.38;4.387.062;;;;;;;;;;
172;21087-64-9;CSC1=NN=C(C(=O)N1N)C(C)(C)C;Training;5.19;4.230.855;;;;;;;;;;
174;82633-79-2;CN1SC2=C(CCC2)C1=O;Training;5.66;5.239.255;;;;;;;;;;
176;134-62-3;CCN(CC)C(=O)C1=CC(C)=CC=C1;Training;3.52;45.266.013;;;;;;;;;;
177;300-76-5;COP(=O)(OC)OC(Br)C(Cl)(Cl)Br;Training;10.65;9.337.545;;;;;;;;;;
178;15299-99-7;CCN(CC)C(=O)C(C)OC1=C2C=CC=CC2=CC=C1;Training;4.64;52.330.084;;;;;;;;;;
179;132-66-1;OC(=O)C1=C(C=CC=C1)C(=O)NC1=C2C=CC=CC2=CC=C1;Training;3.54;4.223.595;;;;;;;;;;
180;7212-44-4;C\C(C)=C/CC\C(C)=C\CCC(C)(O)C=C;Test;5.57;5.267.243;;;;;;;;;;
182;1929-82-4;ClC1=CC=CC(=N1)C(Cl)(Cl)Cl;Training;5.58;59.752.636;;;;;;;;;;
183;105726-67-8;CNC(=O)CCCCCC(C)(C)C;Training;3.19;4.512.692;;;;;;;;;;
185;105827-78-9;[O-][N+](=O)\N=C1/NCCN1CC1=CC=C(Cl)N=C1;Training;3.61;4.324.036;;;;;;;;;;
187;26530-20-1;CCCCCCCCN1SC=CC1=O;Training;6.93;5.635.189;;;;;;;;;;
188;19044-88-3;CCCN(CCC)C1=C(C=C(C=C1[N+]([O-])=O)S(N)(=O)=O)[N+]([O-])=O;Training;6.02;5.536.338;;;;;;;;;;
189;19666-30-9;CC(C)OC1=CC(N2N=C(OC2=O)C(C)(C)C)=C(Cl)C=C1Cl;Training;5.81;51.474.066;;;;;;;;;;
191;7747-35-5;CCC12COCN1COC2;Training;3.68;41.032.996;;;;;;;;;;
192;301-12-2;CCS(=O)CCSP(=O)(OC)OC;Training;6.85;73.618.946;;;;;;;;;;
193;76738-62-0;[H][C@](CC1=CC=C(Cl)C=C1)([C@@H](O)C(C)(C)C)N1C=NC=N1;Test;4.21;4.596.518;;;;;;;;;;
