Id,CAS,SMILES,Status,Experimental value [-log(mol/l)],Predicted value [-log(mol/l)]
179,534-52-1,O=[N+]([O-])c1cc(c(O)c(c1)C)[N+](=O)[O-],Training,4.79,4.078559
180,536-90-3,O(c1cccc(N)c1)C,Training,5.64,4.4491334
181,541-73-1,c1cc(cc(c1)Cl)Cl,Training,4.31,4.4340577
182,554-00-7,Nc1ccc(cc1Cl)Cl,Training,5.43,4.781512
183,556-61-6,C(=NC)=S,Training,5.42,4.2370653
184,576-26-1,Oc1c(cccc1C)C,Training,4.04,3.8015106
185,578-54-1,Nc1ccccc1CC,Training,4.18,4.3870726
186,589-16-2,Nc1ccc(cc1)CC,Training,6.13,4.4946465
187,592-82-5,C(=NCCCC)=S,Training,5.43,3.8102
188,598-52-7,NC(NC)=S,Training,3.98,3.7914693
189,602-01-7,O=[N+]([O-])c1cccc(c1[N+](=O)[O-])C,Training,5.44,4.2269144
190,608-93-5,c1c(c(c(c(c1Cl)Cl)Cl)Cl)Cl,Training,4.67,5.542352
191,609-19-8,Oc1cc(c(c(c1)Cl)Cl)Cl,Training,5.46,4.666318
192,618-62-2,O=[N+]([O-])c1cc(cc(c1)Cl)Cl,Training,4.41,4.181846
193,622-78-6,C(=NCc1ccccc1)=S,Training,6.54,5.066418
194,625-53-6,NC(NCC)=S,Training,3.87,3.3385675
195,630-20-6,C(C(Cl)(Cl)Cl)Cl,Training,3.85,4.4843316
196,634-67-3,Nc1ccc(c(c1Cl)Cl)Cl,Training,5.43,5.1670766
197,634-90-2,c1c(cc(c(c1Cl)Cl)Cl)Cl,Training,4.35,5.173276
198,636-30-6,Nc1cc(c(cc1Cl)Cl)Cl,Training,4.76,5.1329093
199,680-31-9,O=P(N(C)C)(N(C)C)N(C)C,Training,1.43,2.215901
200,709-98-8,O=C(Nc1ccc(c(c1)Cl)Cl)CC,Training,4.64,5.514884
201,825-44-5,O=S2(=O)(C=Cc1ccccc12),Training,4.07,3.7064912
202,872-50-4,O=C1N(C)CCC1,Training,4.91,2.6855757
203,877-43-0,n1c2ccc(cc2(ccc1C))C,Training,3.62,4.196274
204,935-95-5,Oc1c(c(cc(c1Cl)Cl)Cl)Cl,Training,5.61,4.9865727
205,944-22-9,O(CC)P(CC)(=S)Sc1ccccc1,Training,7.96,7.731632
206,959-98-8,O=S1OCC2C(CO1)C3(C(=C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl,Training,5.54,6.0268793
207,1013-23-6,O=S2c3ccccc3(c1ccccc12),Training,4,5.1506696
208,1014-70-6,n1c(nc(nc1NCC)SC)NCC,Training,3.63,4.0516667
209,1024-57-3,O1C2C1C(C3C2C4(C(=C(C3(C4(Cl)Cl)Cl)Cl)Cl)Cl)Cl,Training,6.21,6.3992105
210,1031-07-8,O=S1(=O)(OCC2C(CO1)C3(C(=C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl),Training,5.3,6.4723973
211,1071-83-6,O=C(O)CNCP(=O)(O)O,Training,3.91,2.5187914
212,1241-94-7,O=P(Oc1ccccc1)(Oc2ccccc2)OCC(CC)CCCC,Training,6.38,7.8543024
213,1445-75-6,O=P(OC(C)C)(OC(C)C)C,Training,2.83,5.393872
214,1455-18-1,c1ccc2c(c1)c(cs2)C,Training,4.76,5.0561748
215,1516-32-1,NC(NCCCC)=S,Training,3.85,3.2186444
216,1570-64-5,Oc1ccc(cc1C)Cl,Training,5.69,4.172772
217,1582-09-8,O=[N+]([O-])c1cc(cc(c1N(CCC)CCC)[N+](=O)[O-])C(F)(F)F,Training,6.24,5.264181
218,1740-19-8,O=C(O)C2(C)(CCCC3(c1ccc(cc1CCC23)C(C)C)(C)),Training,4.55,6.0371437
219,1836-77-7,O=[N+]([O-])c2ccc(Oc1c(cc(cc1Cl)Cl)Cl)cc2,Training,5.88,5.5416093
220,1897-45-6,N#Cc1c(c(C#N)c(c(c1Cl)Cl)Cl)Cl,Training,6.21,6.943533
221,1912-24-9,n1c(nc(nc1NC(C)C)Cl)NCC,Training,4.36,3.7439594
222,01/02/1918,O=C(O)c1nc(c(c(N)c1Cl)Cl)Cl,Training,3.68,4.3598022
223,1982-47-4,O=C(Nc2ccc(Oc1ccc(cc1)Cl)cc2)N(C)C,Training,4.99,6.438993
224,2008-58-4,O=C(N)c1c(cccc1Cl)Cl,Training,2.35,5.045909
225,2051-61-8,c1ccc(cc1)c2cccc(c2)Cl,Training,5.64,5.235462
226,2051-62-9,c1ccc(cc1)c2ccc(cc2)Cl,Training,5.65,5.197098
227,2303-17-5,O=C(N(C(C)C)C(C)C)SCC(=C(Cl)Cl)Cl,Training,6.73,5.0868716
228,2556-42-5,C(N(CCC)CCC)(=S)SSC(N(CCC)CCC)=S,Training,6.19,6.312766
229,2668-24-8,Oc1c(OC)cc(c(c1Cl)Cl)Cl,Training,5.38,5.1561747
230,2764-72-9,c1cc[n+]3c(c1)c2cccc[n+]2CC3,Training,5.01,3.5123196
231,2782-91-4,C(N(C)C)(N(C)C)=S,Training,2.24,3.1162393
232,2921-88-2,n1c(OP(OCC)(OCC)=S)c(cc(c1Cl)Cl)Cl,Training,8.55,6.8234673
233,4044-65-9,C(=Nc1ccc(N=C=S)cc1)=S,Training,6.4,6.05861
234,4104-75-0,NC(N(c1ccccc1)C)=S,Training,3.24,4.135334
235,5964-62-5,O=S(=O)(c2ccc(N=Nc1cc(c(O)cc1C)C(C)C)cc2)c4ccc(N=Nc3cc(c(O)cc3C)C(C)C)cc4,Training,5.44,5.485866
236,6317-18-6,N#CSCSC#N,Training,6.25,5.791541
237,10605-21-7,O=C(OC)Nc1nc2ccccc2([nH]1),Training,6.27,4.487936
238,11141-17-6,O=C(OC1CC(OC(=O)C)C3(C(=O)OC)(COC2C(O)C(C)(C4C(O)(OCC14(C23))C(=O)OC)C78(OC8(C)(C6CC7(OC5OC=CC56(O))))))C(=CC)C,Training,6.06,6.3469396
239,14315-14-1,c2cc1c(ccs1)cc2C,Training,4.03,5.163086
240,15862-07-4,c1ccc(cc1)c2cc(c(cc2Cl)Cl)Cl,Training,5.64,5.732814
241,22431-62-5,O=C(OCc1coc(c1)Cc2ccccc2)C4C(C=C3CCCC3)C4(C)(C),Training,8.16,6.549326
242,23564-05-8,O=C(OC)NC(Nc1ccccc1(NC(NC(=O)OC)=S))=S,Training,4.33,4.2509356
243,25875-51-8,N=C(NN=Cc1ccc(cc1)Cl)NN=Cc2ccc(cc2)Cl,Training,6.65,6.316131
244,29232-93-7,n1c(OP(OC)(OC)=S)cc(nc1N(CC)CC)C,Training,9.14,7.3031116
245,30125-65-6,n1c(nc(nc1NC(C)(C)C)SC)N,Training,4.29,4.313187
246,33213-65-9,O=S1OCC2C(CO1)C3(C(=C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl,Training,5.43,6.0268793
247,33813-20-6,N2=C1N(C(=S)SS1)CC2,Training,5.92,6.3494253
248,35367-38-5,O=C(NC(=O)c1c(F)cccc1(F))Nc2ccc(cc2)Cl,Training,7.83,6.333324
249,39433-01-7,N(CCCCCCCCCCC(C)C)(CCCCCCCCCCC(C)C)CCCCCCCCCCC(C)C,Training,5.96,6.900426
250,51218-45-2,O=C(N(c1c(cccc1CC)C)C(C)COC)CCl,Training,4.34,5.842875
251,51235-04-2,O=C1N=C(N(C(=O)N1C2CCCCC2)C)N(C)C,Training,3.22,3.341828
252,51630-58-1,N#CC(OC(=O)C(c1ccc(cc1)Cl)C(C)C)c3cccc(Oc2ccccc2)c3,Training,7.99,8.329717
253,52315-07-8,N#CC(OC(=O)C1C(C=C(Cl)Cl)C1(C)(C))c3cccc(Oc2ccccc2)c3,Training,9.06,8.543917
254,52645-53-1,O=C(OCc2cccc(Oc1ccccc1)c2)C3C(C=C(Cl)Cl)C3(C)(C),Training,7.9,7.0129647
255,52918-63-5,N#CC(OC(=O)C1C(C=C(Br)Br)C1(C)(C))c3cccc(Oc2ccccc2)c3,Training,10.12,9.439164
256,57057-83-7,Oc1cc(c(c(c1(OC))Cl)Cl)Cl,Training,5.49,5.1397505
257,60207-90-1,n1cnn(c1)CC2(OCC(O2)CCC)c3ccc(cc3Cl)Cl,Training,4.71,4.3432736
258,66230-04-4,N#CC(OC(=O)C(c1ccc(cc1)Cl)C(C)C)c3cccc(Oc2ccccc2)c3,Training,9.19,8.329717
259,66841-25-6,N#CC(OC(=O)C1C(C(C(Br)(Br)Br)Br)C1(C)(C))c3cccc(Oc2ccccc2)c3,Training,9.85,10.306279
260,68085-85-8,N#CC(OC(=O)C1C(C=C(C(F)(F)F)Cl)C1(C)(C))c3cccc(Oc2ccccc2)c3,Training,7.22,8.6751585
261,68359-37-5,N#CC(OC(=O)C1C(C=C(Cl)Cl)C1(C)(C))c3ccc(F)c(Oc2ccccc2)c3,Training,9.41,8.612833
262,76738-62-0,OC(C(n1ncnc1)Cc2ccc(cc2)Cl)C(C)(C)C,Training,4.01,3.5795188
263,82657-04-3,O=C(OCc2cccc(c1ccccc1)c2C)C3C(C=C(C(F)(F)F)Cl)C3(C)(C),Training,7.82,7.314845
264,91465-08-6,N#CC(OC(=O)C1C(C=C(C(F)(F)F)Cl)C1(C)(C))c3cccc(Oc2ccccc2)c3,Training,8.64,8.6751585
265,98886-44-3,O=C1N(CCS1)P(=O)(OCC)SC(C)CC,Training,5.63,5.4098487
266,960003-90-1,O=C1N(CCS1)P(=O)(OCC)SC(C)CC,Training,6.11,5.4098487
267,960003-91-2,O=C1N(CCS1)P(=O)(OCC)SC(C)CC,Training,5.95,5.4098487
268,960003-92-3,O=C1N(CCS1)P(=O)(OCC)SC(C)CC,Training,5.76,5.4098487
269,960003-93-4,O=C1N(CCS1)P(=O)(OCC)SC(C)CC,Training,5.62,5.4098487
270,50-29-3,c1cc(ccc1C(c2ccc(cc2)Cl)C(Cl)(Cl)Cl)Cl,Test,6.92,6.5442147
271,51-03-6,O1c2cc(c(cc2(OC1))CCC)COCCOCCOCCCC,Test,5.08,6.069631
272,51-28-5,O=[N+]([O-])c1ccc(O)c(c1)[N+](=O)[O-],Test,4.59,3.8996773
273,56-38-2,O=[N+]([O-])c1ccc(OP(OCC)(OCC)=S)cc1,Test,8.26,7.4198136
274,58-27-5,O=C1C=C(C(=O)c2ccccc12)C,Test,5.55,4.9819064
275,58-89-9,C1(C(C(C(C(C1Cl)Cl)Cl)Cl)Cl)Cl,Test,5.21,4.6439404
276,58-90-2,Oc1c(cc(c(c1Cl)Cl)Cl)Cl,Test,5.99,4.9784656
277,59-06-3,O=C(OC)c1ccc(cc1(OCC))NC(=O)C,Test,3.07,5.5043564
278,63-25-2,O=C(Oc1cccc2ccccc12)NC,Test,5.3,5.625929
279,67-64-1,O=C(C)C,Test,0.67,2.3932698
280,67-66-3,C(Cl)(Cl)Cl,Test,3.25,3.8442872
281,72-20-8,O1C2C1C3CC2C4C3C5(C(=C(C4(C5(Cl)Cl)Cl)Cl)Cl)Cl,Test,6.38,6.3353033
282,75-05-8,N#CC,Test,1.06,3.2482185
283,76-44-8,C1=CC(C2C1C3(C(=C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl)Cl,Test,6.51,6.4798183
284,77-47-4,C=1(C(=C(C(C=1Cl)(Cl)Cl)Cl)Cl)Cl,Test,6.78,4.7475195
285,78-99-9,CCC(Cl)Cl,Test,3.69,2.6873624
286,79-34-5,C(C(Cl)Cl)(Cl)Cl,Test,3.47,4.1218348
287,83-32-9,c2cc1cccc3c1c(c2)CC3,Test,3.58,4.9839377
288,83-41-0,O=[N+]([O-])c1cccc(c1C)C,Test,4.56,4.3808556
289,85-01-8,c1ccc3c(c1)ccc2ccccc23,Test,5.36,5.3662724
290,85-68-7,O=C(OCc1ccccc1)c2ccccc2(C(=O)OCCCC),Test,3.82,5.722006
291,87-86-5,Oc1c(c(c(c(c1Cl)Cl)Cl)Cl)Cl,Test,5.52,5.3154607
292,88-06-2,Oc1c(cc(cc1Cl)Cl)Cl,Test,4.8,4.611254
293,92-52-4,c1ccc(cc1)c2ccccc2,Test,4.91,4.716915
294,92-83-1,O2c1ccccc1Cc3ccccc23,Test,3.95,4.915336
295,95-15-8,c1ccc2c(c1)ccs2,Test,3.36,5.057913
296,95-53-4,Nc1ccccc1C,Test,5.31,4.216991
297,105-55-5,N(C(NCC)=S)CC,Test,2.84,3.5422237
298,107-11-9,C=CCN,Test,3.13,2.5727751
299,107-92-6,O=C(O)CCC,Test,3.16,2.689823
300,108-18-9,N(C(C)C)C(C)C,Test,2.35,3.8840244
301,108-42-9,Nc1cccc(c1)Cl,Test,6.11,4.494525
302,108-90-7,c1ccc(cc1)Cl,Test,3.94,4.0228076
303,111-42-2,OCCNCCO,Test,2.98,1.587866
304,111-44-4,O(CCCl)CCCl,Test,2.78,3.7239828
305,121-73-3,O=[N+]([O-])c1cccc(c1)Cl,Test,3.84,3.7588868
306,126-73-8,O=P(OCCCC)(OCCCC)OCCCC,Test,4.86,6.7724304
307,127-18-4,C(=C(Cl)Cl)(Cl)Cl,Test,3.96,3.878578
308,132-64-9,o2c1ccccc1c3ccccc23,Test,5,5.2346277
309,260-94-6,n1c3ccccc3(cc2ccccc12),Test,4.89,4.508634
310,542-75-6,C(=CCl)CCl,Test,4.25,3.2116063
311,542-85-8,C(=NCC)=S,Test,5.31,3.9090316
312,598-16-3,C(=C(Br)Br)Br,Test,4.33,5.8211923
313,611-06-3,O=[N+]([O-])c1ccc(cc1Cl)Cl,Test,4.66,4.122874
314,626-43-7,Nc1cc(cc(c1)Cl)Cl,Test,5.16,4.8077865
315,632-22-4,O=C(N(C)C)N(C)C,Test,1.6,1.9812579
316,634-83-3,Nc1cc(c(c(c1Cl)Cl)Cl)Cl,Test,5.56,5.4802537
317,693-21-0,O=[N+]([O-])OCCOCCO[N+](=O)[O-],Test,3.34,2.9390664
318,1570-65-6,Oc1c(cc(cc1Cl)Cl)C,Test,5.62,4.4479947
319,2051-60-7,c1ccc(cc1)c2ccccc2Cl,Test,5.42,5.090557
320,02/09/2257,C(=NCCc1ccccc1)=S,Test,6.1,5.0832524
321,2437-79-8,c1cc(cc(c1c2ccc(cc2Cl)Cl)Cl)Cl,Test,6.99,5.870054
322,2489-77-2,N(C(N(C)C)=S)C,Test,2.19,4.286101
323,2539-17-5,Oc1c(OC)c(c(c(c1Cl)Cl)Cl)Cl,Test,6.27,5.4376044
324,02/06/2741,c1ccc(cc1)NC(NCC)=S,Test,3.35,4.258095
325,3209-22-1,O=[N+]([O-])c1cccc(c1Cl)Cl,Test,4.63,4.139364
326,03/12/3483,OC(CS)C(O)CS,Test,3.76,7.3749146
327,04/04/3547,c1cc(ccc1C(c2ccc(cc2)Cl)C)Cl,Test,6.86,5.5188203
328,3689-24-5,O(CC)P(OCC)(OP(OCC)(OCC)=S)=S,Test,9.15,8.431953
329,6972-05-0,NC(N(C)C)=S,Test,3.4,4.0758996
330,10265-92-6,O=P(OC)(N)SC,Test,6.62,6.7268734
331,15263-53-3,O=C(N)SCC(N(C)C)CSC(=O)N,Test,7.38,4.910171
332,28159-98-0,n1c(nc(nc1NC(C)(C)C)SC)NC2CC2,Test,4.49,4.4786873
333,40596-69-8,O=C(OC(C)C)C=C(C=CCC(C)CCCC(OC)(C)C)C,Test,5.48,5.956456
334,55406-53-6,O=C(OCC#CI)NCCCC,Test,6.85,7.278105
335,57157-80-9,N(CCCCCCCCCCC(C)C)CCCCCCCCCCC(C)C,Test,6.42,6.112731
336,112410-23-8,O=C(NN(C(=O)c1cc(cc(c1)C)C)C(C)(C)C)c2ccc(cc2)CC,Test,4.31,7.1358986
337,138261-41-3,O=[N+]([O-])N=C1NCCN1Cc2cnc(cc2)Cl,Test,4.17,3.9583354
