Id,CAS,SMILES,Status,Experimental value [log(L/kg)],Predicted value [log(L/kg)],GNN_status
1,50-29-3,c1cc(ccc1C(c2ccc(cc2)Cl)C(Cl)(Cl)Cl)Cl,Training,3.605,4.2177205,Train
2,50-30-6,O=C(O)c1c(cccc1Cl)Cl,Training,-0.222,0.33857504,Train
3,50-31-7,O=C(O)c1c(ccc(c1Cl)Cl)Cl,Training,0.073,0.7908628,Train
4,50-32-8,c1ccc2c(c1)cc3ccc4cccc5ccc2c3c45,Training,2.731,2.5306149,Train
5,51-28-5,O=[N+]([O-])c1ccc(O)c(c1)[N+](=O)[O-],Training,0.052,0.48300508,Test
6,51-44-5,O=C(O)c1ccc(c(c1)Cl)Cl,Training,-0.169,0.31887564,Train
7,53-70-3,c1ccc5c(c1)ccc4cc3c(ccc2ccccc23)cc45,Training,2.8,2.5169392,Train
8,55-38-9,O(c1ccc(c(c1)C)SC)P(OC)(OC)=S,Training,2.26,1.0098987,Train
9,56-23-5,C(Cl)(Cl)(Cl)Cl,Training,1.03,1.132309,Train
10,56-35-9,O([Sn](CCCC)(CCCC)CCCC)[Sn](CCCC)(CCCC)CCCC,Training,3.994,2.3110518,Valid
11,56-38-2,O=[N+]([O-])c1ccc(OP(OCC)(OCC)=S)cc1,Training,2.106,1.7381686,Train
12,56-55-3,c3ccc4cc2c(ccc1ccccc12)cc4(c3),Training,2.54,2.5235095,Train
13,57-15-8,OC(C)(C)C(Cl)(Cl)Cl,Training,0.301,0.47430846,Train
14,58-90-2,Oc1c(cc(c(c1Cl)Cl)Cl)Cl,Training,2.006,2.2926073,Train
15,59-50-7,Oc1ccc(c(c1)C)Cl,Training,1.016,1.0366355,Train
16,60-29-7,O(CC)CC,Training,0.475,0.50425893,Train
17,60-51-5,O=C(NC)CSP(OC)(OC)=S,Training,0.156,-0.37310997,Train
18,61-82-5,n1c[nH]nc1N,Training,-0.016,0.08825128,Train
19,62-44-2,O=C(Nc1ccc(OCC)cc1)C,Training,0.977,0.3593845,Train
20,62-53-3,Nc1ccccc1,Training,0.307,0.7832885,Train
21,62-56-6,NC(N)=S,Training,-0.199,-0.17397623,Train
22,62-73-7,O=P(OC=C(Cl)Cl)(OC)OC,Training,-0.199,-0.029633923,Train
23,66-81-9,O=C1NC(=O)CC(C1)CC(O)C2C(=O)C(C)CC(C)C2,Training,-0.038,0.7585133,Test
24,67-66-3,C(Cl)(Cl)Cl,Training,0.799,0.810039,Train
26,67-72-1,C(C(Cl)(Cl)Cl)(Cl)(Cl)Cl,Training,2.115,1.3081535,Train
27,68-12-2,O=CN(C)C,Training,-0.107,0.17160702,Test
29,71-55-6,CC(Cl)(Cl)Cl,Training,0.475,1.1306868,Train
30,72-55-9,c1cc(ccc1C(c2ccc(cc2)Cl)=C(Cl)Cl)Cl,Training,4.51,3.9029944,Test
31,74-31-7,c1ccc(cc1)Nc2ccc(cc2)Nc3ccccc3,Training,3.133,2.4182556,Train
32,74-97-5,C(Cl)Br,Training,0.454,1.0287623,Train
33,75-09-2,C(Cl)Cl,Training,1.066,0.69096434,Train
35,75-25-2,C(Br)(Br)Br,Training,1.219,0.7398746,Train
36,75-35-4,C=C(Cl)Cl,Training,0.88,1.4357857,Test
37,75-65-0,OC(C)(C)C,Training,0.366,0.22797564,Train
38,75-71-8,FC(F)(Cl)Cl,Training,0.877,1.3613352,Valid
39,75-98-9,O=C(O)C(C)(C)C,Training,0.096,0.057965208,Train
40,75-99-0,O=C(O)C(C)(Cl)Cl,Training,0.664,0.18817848,Valid
41,76-03-9,O=C(O)C(Cl)(Cl)Cl,Training,0.025,0.4085186,Train
42,76-12-0,FC(C(F)(Cl)Cl)(Cl)Cl,Training,1.901,1.5039401,Train
43,76-13-1,FC(F)(C(F)(Cl)Cl)Cl,Training,1.623,1.4638472,Train
44,76-83-5,c1ccc(cc1)C(c2ccccc2)(c3ccccc3)Cl,Training,2.623,2.8996348,Train
45,76-87-9,O[Sn](c1ccccc1)(c2ccccc2)c3ccccc3,Training,3.494,2.8645134,Train
46,76-93-7,O=C(O)C(O)(c1ccccc1)c2ccccc2,Training,-0.222,1.4282802,Train
47,77-47-4,C=1(C(=C(C(C=1Cl)(Cl)Cl)Cl)Cl)Cl,Training,1.182,3.8552942,Train
48,78-40-0,O=P(OCC)(OCC)OCC,Training,-0.095,0.015301715,Train
49,78-42-2,O=P(OCC(CC)CCCC)(OCC(CC)CCCC)OCC(CC)CCCC,Training,1.014,1.1829077,Train
50,78-51-3,O=P(OCCOCCCC)(OCCOCCCC)OCCOCCCC,Training,0.582,0.8502036,Train
51,78-59-1,O=C1C=C(C)CC(C)(C)C1,Training,0.39,1.8405997,Train
52,78-79-5,C=CC(=C)C,Training,1.133,2.6294632,Train
53,79-00-5,C(C(Cl)Cl)Cl,Training,0.533,1.0133067,Train
54,79-01-6,C(=C(Cl)Cl)Cl,Training,1.114,1.3630116,Test
55,79-27-6,C(C(Br)Br)(Br)Br,Training,0.77,1.006582,Test
56,79-34-5,C(C(Cl)Cl)(Cl)Cl,Training,1.03,1.1056476,Train
57,79-46-9,O=[N+]([O-])C(C)C,Training,0.321,0.07649985,Train
58,79-92-5,C=C2C1CCC(C1)C2(C)C,Training,2.97,3.1979115,Train
59,79-94-7,Oc1c(cc(cc1Br)C(c2cc(c(O)c(c2)Br)Br)(C)C)Br,Training,2.479,2.3578916,Valid
60,80-05-7,Oc1ccc(cc1)C(c2ccc(O)cc2)(C)C,Training,1.389,1.2717869,Train
61,80-43-3,O(OC(c1ccccc1)(C)C)C(c2ccccc2)(C)C,Training,2.881,1.357663,Train
62,81-11-8,O=S(=O)(O)c2cc(N)ccc2(C=Cc1ccc(N)cc1S(=O)(=O)O),Training,0.28,0.37595212,Train
63,81-15-2,O=[N+]([O-])c1c(c(c(c(c1C)[N+](=O)[O-])C(C)(C)C)[N+](=O)[O-])C,Training,3.651,2.1360722,Train
64,81-16-3,O=S(=O)(O)c2c(N)ccc1ccccc12,Training,0.278,0.48404652,Train
65,81-88-9,O=C(O)c1ccccc1C=3c4ccc(cc4(OC2=CC(C=CC2=3)=[N+](CC)CC))N(CC)CC,Training,-0.234,1.6051261,Valid
66,82-05-3,O=C2c1ccccc1c4cccc3cccc2c34,Training,2.142,1.6592327,Test
67,82-44-0,O=C2c3ccccc3(C(=O)c1c2(cccc1Cl)),Training,2.421,2.0943506,Train
68,82-45-1,O=C1c3ccccc3(C(=O)c2c(N)cccc12),Training,2.075,2.0368676,Train
69,82-47-3,O=S(=O)(O)c1cc(c2cccc(O)c2(c1(N)))S(=O)(=O)O,Training,0.9,0.23302878,Train
70,83-32-9,c2cc1cccc3c1c(c2)CC3,Training,2.963,3.3347423,Train
71,84-51-5,O=C1c3ccccc3(C(=O)c2cc(ccc12)CC),Training,2.207,2.0916333,Train
72,84-57-1,O=C1N(N=C(C)C1)c2cc(c(cc2Cl)S(=O)(=O)O)Cl,Training,0.801,1.0078204,Train
73,84-74-2,O=C(OCCCC)c1ccccc1(C(=O)OCCCC),Training,2.229,1.1326118,Train
74,84-86-6,O=S(=O)(O)c2ccc(N)c1ccccc12,Training,0.78,0.34537253,Train
75,84-87-7,O=S(=O)(O)c2ccc(O)c1ccccc12,Training,1.11,0.2665859,Train
76,85-01-8,c1ccc3c(c1)ccc2ccccc23,Training,3.312,2.805016,Train
77,85-68-7,O=C(OCc1ccccc1)c2ccccc2(C(=O)OCCCC),Training,0.805,1.5363374,Train
78,85-83-6,Oc3ccc4ccccc4(c3(N=Nc2ccc(N=Nc1ccccc1C)cc2C)),Training,0.752,0.84098387,Train
79,86-30-6,O=NN(c1ccccc1)c2ccccc2,Training,1.482,2.3731556,Valid
80,86-73-7,c1ccc3c(c1)c2ccccc2C3,Training,2.813,3.0019574,Test
81,86-87-3,O=C(O)Cc2cccc1ccccc12,Training,0.107,0.22993141,Valid
82,87-02-5,O=S(=O)(O)c1cc(O)c2ccc(N)cc2(c1),Training,-0.159,0.563443,Valid
83,87-40-1,O(c1c(cc(cc1Cl)Cl)Cl)C,Training,2.806,2.8913138,Train
84,87-61-6,c1cc(c(c(c1)Cl)Cl)Cl,Training,2.955,3.4097636,Valid
85,87-65-0,Oc1c(cccc1Cl)Cl,Training,1.26,1.5894693,Test
86,87-68-3,C(C(=C(Cl)Cl)Cl)(=C(Cl)Cl)Cl,Training,3.809,1.4479711,Train
87,87-83-2,c1(c(c(c(c(c1Br)Br)Br)Br)Br)C,Training,2.459,3.6192899,Train
88,87-84-3,C1(C(C(C(C(C1Br)Br)Br)Br)Br)Cl,Training,2.449,2.9052517,Test
89,87-86-5,Oc1c(c(c(c(c1Cl)Cl)Cl)Cl)Cl,Training,2.666,2.5911233,Train
90,88-06-2,Oc1c(cc(cc1Cl)Cl)Cl,Training,1.893,1.9163657,Train
91,88-19-7,O=S(=O)(N)c1ccccc1C,Training,0.156,0.28087947,Valid
92,88-44-8,O=S(=O)(O)c1cc(ccc1(N))C,Training,0.102,0.3481073,Train
93,88-72-2,O=[N+]([O-])c1ccccc1C,Training,1.344,0.9207537,Valid
94,88-73-3,O=[N+]([O-])c1ccccc1Cl,Training,1.714,1.3343276,Train
95,88-74-4,O=[N+]([O-])c1ccccc1(N),Training,0.69,0.7252608,Train
96,88-75-5,O=[N+]([O-])c1ccccc1(O),Training,0.999,0.9068774,Train
97,88-85-7,O=[N+]([O-])c1cc(c(O)c(c1)C(C)CC)[N+](=O)[O-],Training,0.476,0.76836586,Train
98,88-89-1,O=[N+]([O-])c1cc(c(O)c(c1)[N+](=O)[O-])[N+](=O)[O-],Training,-0.139,0.49502063,Train
99,88-98-2,O=C(O)C1CC=CCC1(C(=O)O),Training,-0.199,-0.041323632,Train
100,89-63-4,O=[N+]([O-])c1cc(ccc1(N))Cl,Training,1.074,1.526811,Train
101,89-93-0,NCc1ccccc1C,Training,0.475,0.6791244,Test
102,90-20-0,O=S(=O)(O)c1cc(O)c2c(N)cc(cc2(c1))S(=O)(=O)O,Training,0.46,0.28178445,Test
103,90-30-2,c1ccc(cc1)Nc3cccc2ccccc23,Training,3.316,2.5285108,Train
104,90-41-5,Nc1ccccc1c2ccccc2,Training,1.47,1.7658337,Train
105,90-51-7,O=S(=O)(O)c1cc(O)c2cc(N)ccc2(c1),Training,0.159,0.47184005,Train
106,90-94-8,O=C(c1ccc(cc1)N(C)C)c2ccc(cc2)N(C)C,Training,1.591,1.3949336,Train
107,91-15-6,N#Cc1ccccc1(C#N),Training,0.401,0.73246115,Train
108,91-20-3,c1ccc2ccccc2(c1),Training,2.36,3.2585444,Train
109,91-22-5,n1cccc2ccccc12,Training,0.396,2.0415342,Valid
110,91-23-6,O=[N+]([O-])c1ccccc1(OC),Training,0.486,0.8603587,Train
111,91-57-6,c1ccc2cc(ccc2(c1))C,Training,3.11,3.2880766,Train
112,91-58-7,c1ccc2cc(ccc2(c1))Cl,Training,3.63,2.7137048,Test
113,91-66-7,c1ccc(cc1)N(CC)CC,Training,2.065,1.1665695,Valid
114,91-94-1,Nc1ccc(cc1Cl)c2ccc(N)c(c2)Cl,Training,2.289,2.8864732,Valid
115,91-96-3,O=C(Nc1ccc(cc1C)c2ccc(NC(=O)CC(=O)C)c(c2)C)CC(=O)C,Training,-0.247,1.4795885,Train
116,92-69-3,Oc1ccc(cc1)c2ccccc2,Training,1.677,1.870842,Train
117,92-70-6,O=C(O)c1cc2ccccc2(cc1(O)),Training,0.318,0.90411675,Train
118,92-77-3,O=C(Nc1ccccc1)c2cc3ccccc3(cc2(O)),Training,0.698,1.3729427,Train
119,92-84-2,c1ccc3c(c1)Nc2ccccc2S3,Training,2.671,2.3733392,Train
120,92-86-4,c1cc(ccc1c2ccc(cc2)Br)Br,Training,3.995,3.2170453,Train
121,94-52-0,O=[N+]([O-])c1ccc2[nH]cnc2(c1),Training,0.232,0.52316993,Train
122,95-48-7,Oc1ccccc1C,Training,1.03,0.92513686,Train
123,95-49-8,c1ccc(c(c1)C)Cl,Training,1.905,1.7805895,Train
124,95-50-1,c1ccc(c(c1)Cl)Cl,Training,2.5,2.7871203,Train
125,95-51-2,Nc1ccccc1Cl,Training,0.913,0.86101687,Test
126,95-56-7,Oc1ccccc1Br,Training,1.514,1.1625788,Test
127,95-57-8,Oc1ccccc1Cl,Training,1.061,1.07548,Train
128,95-63-6,c1cc(c(cc1C)C)C,Training,2.256,2.5709767,Train
129,95-64-7,Nc1ccc(c(c1)C)C,Training,0.645,0.6557863,Train
130,95-69-2,Nc1ccc(cc1C)Cl,Training,1.205,0.7477716,Test
131,95-76-1,Nc1ccc(c(c1)Cl)Cl,Training,1.148,1.7413172,Train
132,95-77-2,Oc1ccc(c(c1)Cl)Cl,Training,1.811,1.5807854,Test
133,95-78-3,Nc1cc(ccc1C)C,Training,0.487,0.8677296,Test
134,95-80-7,Nc1ccc(c(N)c1)C,Training,1.199,0.7748761,Valid
135,95-82-9,Nc1cc(ccc1Cl)Cl,Training,1.287,1.6888665,Train
136,95-94-3,c1c(c(cc(c1Cl)Cl)Cl)Cl,Training,3.705,3.4374354,Valid
137,95-95-4,Oc1cc(c(cc1Cl)Cl)Cl,Training,2.455,1.8507867,Train
138,96-12-8,C(C(CBr)Br)Cl,Training,1.146,0.96819687,Train
139,96-18-4,C(C(CCl)Cl)Cl,Training,1.022,0.98989916,Train
140,96-29-7,ON=C(C)CC,Training,0.179,0.23919538,Train
141,96-45-7,N1C(NCC1)=S,Training,-0.289,0.07778743,Test
142,96-69-5,Oc1cc(c(cc1C(C)(C)C)Sc2cc(c(O)cc2C)C(C)(C)C)C,Training,0.818,2.406053,Test
143,96-73-1,O=[N+]([O-])c1ccc(c(c1)S(=O)(=O)O)Cl,Training,0.48,0.8354196,Train
144,96-76-4,Oc1ccc(cc1C(C)(C)C)C(C)(C)C,Training,2.511,3.3817565,Train
145,96-96-8,O=[N+]([O-])c1cc(OC)ccc1(N),Training,0.724,0.671009,Train
146,97-23-4,Oc1ccc(cc1Cc2cc(ccc2(O))Cl)Cl,Training,2.097,2.187162,Train
147,98-08-8,FC(F)(F)c1ccccc1,Training,1.685,2.778044,Train
148,98-10-2,O=S(=O)(N)c1ccccc1,Training,0.356,0.19753377,Train
149,98-15-7,FC(F)(F)c1cccc(c1)Cl,Training,2.32,2.6231325,Train
150,98-47-5,O=[N+]([O-])c1cccc(c1)S(=O)(=O)O,Training,0.7,0.24702673,Train
151,98-54-4,Oc1ccc(cc1)C(C)(C)C,Training,1.753,1.1305184,Train
152,98-73-7,O=C(O)c1ccc(cc1)C(C)(C)C,Training,0.341,0.7143638,Train
153,98-83-9,C=C(c1ccccc1)C,Training,1.972,2.6905634,Train
154,98-84-0,NC(c1ccccc1)C,Training,0.641,0.56582177,Train
155,98-95-3,O=[N+]([O-])c1ccccc1,Training,0.641,0.97390324,Train
156,99-08-1,O=[N+]([O-])c1cccc(c1)C,Training,0.95,1.0199364,Train
157,99-09-2,O=[N+]([O-])c1cccc(N)c1,Training,0.533,0.69383955,Test
158,99-54-7,O=[N+]([O-])c1ccc(c(c1)Cl)Cl,Training,1.917,1.8229816,Train
159,99-65-0,O=[N+]([O-])c1cccc(c1)[N+](=O)[O-],Training,0.773,0.45042133,Train
160,99-71-8,Oc1ccc(cc1)C(C)CC,Training,1.387,1.5363754,Train
161,99-99-0,O=[N+]([O-])c1ccc(cc1)C,Training,0.913,1.0302566,Train
162,100-00-5,O=[N+]([O-])c1ccc(cc1)Cl,Training,1.618,1.3644017,Train
163,100-01-6,O=[N+]([O-])c1ccc(N)cc1,Training,0.69,0.65171355,Train
164,100-02-7,O=[N+]([O-])c1ccc(O)cc1,Training,0.756,1.1127572,Test
165,100-17-4,O=[N+]([O-])c1ccc(OC)cc1,Training,0.779,0.7309593,Train
166,100-25-4,O=[N+]([O-])c1ccc(cc1)[N+](=O)[O-],Training,-0.397,0.534685,Train
168,100-40-3,C=CC1CC=CCC1,Training,2.252,2.773752,Train
169,100-43-6,n1ccc(C=C)cc1,Training,1.907,0.3598314,Train
170,100-61-8,c1ccc(cc1)NC,Training,0.664,0.79921836,Valid
171,101-02-0,O(c1ccccc1)P(Oc2ccccc2)Oc3ccccc3,Training,2.394,2.093615,Train
172,101-14-4,Nc1ccc(cc1Cl)Cc2ccc(N)c(c2)Cl,Training,2.407,2.244907,Valid
173,101-53-1,Oc1ccc(cc1)Cc2ccccc2,Training,1.465,1.3240316,Train
174,101-77-9,Nc1ccc(cc1)Cc2ccc(N)cc2,Training,1.054,1.6723813,Test
175,101-81-5,c1ccc(cc1)Cc2ccccc2,Training,2.995,3.283252,Train
176,101-84-8,O(c1ccccc1)c2ccccc2,Training,2.637,2.062854,Train
177,102-06-7,N=C(Nc1ccccc1)Nc2ccccc2,Training,0.801,1.6775663,Train
178,102-70-5,C=CCN(CC=C)CC=C,Training,0.515,0.195,Train
179,102-71-6,OCCN(CCO)CCO,Training,0.097,-0.17358927,Test
180,103-44-6,O(C=C)CC(CC)CCCC,Training,3.094,1.9405767,Train
181,103-50-4,O(Cc1ccccc1)Cc2ccccc2,Training,2.518,1.7086283,Train
182,103-69-5,c1ccc(cc1)NCC,Training,0.993,1.0466712,Train
183,103-83-3,c1ccc(cc1)CN(C)C,Training,0.948,0.41985244,Train
184,104-40-5,Oc1ccc(cc1)CCCCCCCCC,Training,2.546,2.327601,Train
185,104-88-1,O=Cc1ccc(cc1)Cl,Training,0.32,0.97510016,Train
186,105-05-5,c1cc(ccc1CC)CC,Training,2.734,2.7946692,Valid
187,106-37-6,c1cc(ccc1Br)Br,Training,2.285,2.7950807,Test
188,106-41-2,Oc1ccc(cc1)Br,Training,1.242,1.2391,Train
189,106-43-4,c1cc(ccc1C)Cl,Training,1.836,1.6463716,Train
190,106-46-7,c1cc(ccc1Cl)Cl,Training,2.67,2.8176517,Train
191,106-47-8,Nc1ccc(cc1)Cl,Training,0.599,0.8684666,Train
192,106-48-9,Oc1ccc(cc1)Cl,Training,1.347,1.0919696,Train
193,106-93-4,C(CBr)Br,Training,0.674,1.2314117,Train
194,107-05-1,C=CCCl,Training,0.295,0.7293997,Test
195,107-39-1,C=C(C)CC(C)(C)C,Training,2.829,3.2039435,Train
196,108-36-1,c1cc(cc(c1)Br)Br,Training,2.778,2.6752183,Train
197,108-42-9,Nc1cccc(c1)Cl,Training,0.31,0.9667403,Train
198,108-43-0,Oc1cccc(c1)Cl,Training,1.083,1.5065273,Valid
199,108-45-2,Nc1cccc(N)c1,Training,0.799,0.84638155,Train
200,108-60-1,O(C(C)CCl)C(C)CCl,Training,0.962,0.39973077,Train
201,108-67-8,c1c(cc(cc1C)C)C,Training,2.426,2.5258732,Valid
202,108-70-3,c1c(cc(cc1Cl)Cl)Cl,Training,3.306,3.0539079,Train
203,108-78-1,n1c(nc(nc1N)N)N,Training,0.08,0.07996309,Train
204,108-80-5,Oc1nc(O)nc(O)n1,Training,-0.651,0.02714204,Train
205,108-86-1,c1ccc(cc1)Br,Training,1.434,1.9834322,Test
206,108-87-2,CC1CCCCC1,Training,2.367,2.86025,Train
207,108-90-7,c1ccc(cc1)Cl,Training,1.356,2.2239568,Train
208,108-95-2,Oc1ccccc1,Training,0.551,1.1136636,Train
209,109-09-1,n1ccccc1Cl,Training,0.779,0.40935004,Test
210,109-69-3,CCCCCl,Training,1.213,0.6254085,Train
211,110-00-9,o1cccc1,Training,0.345,0.7901289,Train
212,110-02-1,c1ccsc1,Training,0.631,0.345,Train
213,110-30-5,O=C(NCCNC(=O)CCCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCCC,Training,0.319,1.7274127,Train
214,110-82-7,C1CCCCC1,Training,1.965,2.981402,Test
215,110-85-0,N1CCNCC1,Training,0.228,0.037642192,Test
216,110-91-8,O1CCNCC1,Training,-0.021,0.07032541,Train
217,110-98-5,OC(C)COCC(O)C,Training,0.446,-0.026502771,Train
218,111-40-0,NCCNCCN,Training,0.338,0.052379776,Train
219,111-41-1,OCCNCCN,Training,0.111,0.17582108,Test
220,111-44-4,O(CCCl)CCCl,Training,0.241,0.7187741,Test
221,111-84-2,CCCCCCCCC,Training,3.15,3.1587443,Train
222,111-94-4,N#CCCNCCC#N,Training,-0.331,0.17434299,Train
223,112-40-3,CCCCCCCCCCCC,Training,2.805,2.3769927,Train
224,112-41-4,C=CCCCCCCCCCC,Training,3.4,3.1720567,Valid
225,115-28-6,O=C(O)C1C(C(=O)O)C2(C(=C(C1(C2(Cl)Cl)Cl)Cl)Cl)Cl,Training,-0.168,3.8517752,Train
226,115-32-2,OC(c1ccc(cc1)Cl)(c2ccc(cc2)Cl)C(Cl)(Cl)Cl,Training,3.767,3.7042177,Valid
227,115-77-5,OCC(CO)(CO)CO,Training,-0.037,0.03627791,Train
228,115-96-8,O=P(OCCCl)(OCCCl)OCCCl,Training,0.209,0.45454207,Train
229,117-79-3,O=C1c3ccccc3(C(=O)c2cc(N)ccc12),Training,1.586,2.1853418,Train
230,117-81-7,O=C(OCC(CC)CCCC)c1ccccc1(C(=O)OCC(CC)CCCC),Training,1.992,1.0052019,Train
231,118-32-1,O=S(=O)(O)c2cc1ccc(O)cc1c(c2)S(=O)(=O)O,Training,0,0.66683894,Train
232,118-44-5,c1ccc2c(c1)cccc2(NCC),Training,2.371,1.7064606,Train
233,118-74-1,c1(c(c(c(c(c1Cl)Cl)Cl)Cl)Cl)Cl,Training,4.21,3.616874,Test
234,118-79-6,Oc1c(cc(cc1Br)Br)Br,Training,2.71,2.89457,Train
235,118-83-2,O=[N+]([O-])c1ccc(cc1C(F)(F)F)Cl,Training,2.016,2.5336843,Train
236,118-91-2,O=C(O)c1ccccc1Cl,Training,0.5,0.4117028,Test
237,119-12-0,O=C1C=CC(=NN1c2ccccc2)OP(OCC)(OCC)=S,Training,0.868,1.7543769,Test
238,119-33-5,O=[N+]([O-])c1cc(ccc1(O))C,Training,0.962,1.0390714,Train
