Id,CAS,SMILES,Status,Experimental value [log(L/kg)],Predicted value [log(L/kg)],GNN_status
239,119-47-1,Oc1c(cc(cc1C(C)(C)C)C)Cc2cc(cc(c2(O))C(C)(C)C)C,Training,2.595,2.5821328,Train
240,119-56-2,OC(c1ccccc1)c2ccc(cc2)Cl,Training,1.843,2.277257,Train
241,119-61-9,O=C(c1ccccc1)c2ccccc2,Training,0.931,2.0360665,Train
242,119-64-2,c1ccc2c(c1)CCCC2,Training,2.471,3.0168805,Train
243,119-93-7,Nc1ccc(cc1C)c2ccc(N)c(c2)C,Training,1.601,1.4007704,Train
244,120-12-7,c1ccc2cc3ccccc3(cc2(c1)),Training,3.251,2.8223119,Train
245,120-52-5,O=C(ON=C2C=CC(=NOC(=O)c1ccccc1)C=C2)c3ccccc3,Training,0.433,1.8781606,Train
246,120-54-7,C(N1CCCCC1)(=S)SSSSC(N2CCCCC2)=S,Training,1.12,1.1034983,Test
247,120-71-8,O(c1ccc(cc1(N))C)C,Training,0.82,0.6795273,Train
248,120-78-5,n2c1ccccc1sc2SSC4=NC3CCCCC3S4,Training,1.15,2.3709517,Train
249,120-82-1,c1cc(c(cc1Cl)Cl)Cl,Training,3.047,3.387367,Valid
250,120-83-2,Oc1ccc(cc1Cl)Cl,Training,1.883,1.4273726,Train
251,121-14-2,O=[N+]([O-])c1ccc(c(c1)[N+](=O)[O-])C,Training,0.83,0.5720661,Train
252,121-44-8,N(CC)(CC)CC,Training,0.195,0.59124947,Test
253,121-69-7,c1ccc(cc1)N(C)C,Training,1.022,0.83282745,Train
254,121-75-5,O=C(OCC)CC(C(=O)OCC)SP(OC)(OC)=S,Training,1.002,1.1542692,Test
255,121-92-6,O=C(O)c1cccc(c1)[N+](=O)[O-],Training,0.351,0.54765177,Train
256,122-14-5,O=[N+]([O-])c1ccc(OP(OC)(OC)=S)cc1C,Training,1.834,1.2320269,Test
257,122-20-3,OC(C)CN(CC(O)C)CC(O)C,Training,-0.733,0.543699,Train
258,122-34-9,n1c(nc(nc1NCC)Cl)NCC,Training,1.108,0.7825761,Test
259,122-39-4,c1ccc(cc1)Nc2ccccc2,Training,2.299,2.428357,Train
260,123-48-8,C(=C(C)CC(C)(C)C)C(C)(C)C,Training,3.29,3.0790179,Train
261,123-63-7,O1C(OC(OC1C)C)C,Training,0.085,0.4288674,Test
262,123-91-1,O1CCOCC1,Training,-0.268,0.17640638,Train
263,124-11-8,C=CCCCCCCC,Training,3.181,3.3066683,Train
264,126-30-7,OCC(C)(C)CO,Training,0.157,-0.029075624,Train
266,126-72-7,O=P(OCC(CBr)Br)(OCC(CBr)Br)OCC(CBr)Br,Training,0.384,0.82356036,Train
267,126-73-8,O=P(OCCCC)(OCCCC)OCCCC,Training,1.283,0.50653017,Train
268,127-18-4,C(=C(Cl)Cl)(Cl)Cl,Training,1.838,1.63741,Train
270,128-37-0,Oc1c(cc(cc1C(C)(C)C)C)C(C)(C)C,Training,3.199,3.2254715,Train
271,128-86-9,O=C1c3c(O)c(cc(N)c3(C(=O)c2c(O)c(cc(N)c12)S(=O)(=O)O))S(=O)(=O)O,Training,0.31,0.6760799,Test
272,129-00-0,c1cc2ccc3cccc4ccc(c1)c2c34,Training,2.747,2.6175942,Train
273,129-43-1,O=C1c3ccccc3(C(=O)c2c(O)cccc12),Training,2.374,1.9364945,Train
274,131-09-9,O=C1c3ccccc3(C(=O)c2cc(ccc12)Cl),Training,2.34,2.1170626,Test
275,131-57-7,O=C(c1ccccc1)c2ccc(OC)cc2(O),Training,2.091,1.4356475,Train
276,132-64-9,o2c1ccccc1c3ccccc23,Training,3.189,2.9228275,Train
277,132-65-0,c1ccc3c(c1)c2ccccc2s3,Training,3.156,2.760922,Train
278,134-32-7,Nc1cccc2ccccc12,Training,1.485,0.9309933,Valid
279,134-47-4,O=C(Nc1ccc2c(O)cc(cc2(c1))S(=O)(=O)O)Nc3ccc4c(O)cc(cc4(c3))S(=O)(=O)O,Training,-0.23,0.96453756,Train
280,134-62-3,O=C(c1cccc(c1)C)N(CC)CC,Training,0.292,0.3565504,Train
281,135-88-6,c1ccc(cc1)Nc2ccc3ccccc3(c2),Training,2.388,2.821104,Train
283,141-93-5,c1cc(cc(c1)CC)CC,Training,2.812,2.7815168,Train
284,142-96-1,O(CCCC)CCCC,Training,1.912,2.194032,Train
285,144-19-4,OCC(C)(C)C(O)C(C)C,Training,-0.312,0.65272063,Test
286,148-75-4,O=S(=O)(O)c1ccc2cc(O)c(cc2(c1))S(=O)(=O)O,Training,0.3,0.57521296,Train
287,149-30-4,c1ccc2c(c1)NC(=S)S2,Training,0.403,1.429615,Train
288,156-43-4,O(c1ccc(N)cc1)CC,Training,0.521,0.74141616,Train
289,198-55-0,c1cc2cccc3c5cccc4cccc(c(c1)c23)c45,Training,2.38,2.623601,Train
290,206-44-0,c1ccc2c(c1)c4cccc3cccc2c34,Training,3.441,2.9634624,Test
291,208-96-8,c1cc2cccc3C=Cc(c1)c23,Training,2.523,3.0421093,Train
292,217-59-4,c1ccc3c(c1)c2ccccc2c4ccccc34,Training,2.41,2.5573444,Train
293,218-01-9,c1ccc2c(c1)ccc3c4ccccc4(ccc23),Training,2.24,2.6015902,Valid
294,05/06/2497,O=S(=O)(CC)CCSP(OCC)(OCC)=S,Training,0.341,1.2836074,Train
295,06/07/2497,O=S(CC)CCSP(OCC)(OCC)=S,Training,0,1.4908526,Train
296,298-04-4,O(CC)P(OCC)(=S)SCCSCC,Training,2.62,0.81650215,Train
297,226-36-8,n3c5ccc1ccccc1c5(cc4ccc2ccccc2c34),Training,2.029,2.6091378,Train
298,07/03/2597,O=C(OCC)C(c1ccccc1)SP(OC)(OC)=S,Training,1.9,1.3637146,Train
299,294-62-2,C1CCCCCCCCCCC1,Training,3.978,3.2367258,Test
300,298-06-6,O(CC)P(OCC)(=S)S,Training,0.199,1.3307878,Train
301,298-07-7,O=P(O)(OCC(CC)CCCC)OCC(CC)CCCC,Training,0.599,1.3311834,Train
302,306-52-5,O=P(O)(O)OCC(Cl)(Cl)Cl,Training,0.078,-0.07350791,Train
303,311-89-7,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)N(C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Training,1.299,3.432072,Train
304,328-84-7,FC(F)(F)c1ccc(c(c1)Cl)Cl,Training,3.176,2.4107845,Train
305,330-54-1,O=C(Nc1ccc(c(c1)Cl)Cl)N(C)C,Training,0.737,1.7441163,Train
306,330-55-2,O=C(Nc1ccc(c(c1)Cl)Cl)N(OC)C,Training,1.29,1.5496539,Train
307,333-41-5,n1c(OP(OCC)(OCC)=S)cc(nc1C(C)C)C,Training,1.75,2.147762,Valid
308,335-67-1,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Training,3.12,3.0963542,Train
309,346-10-1,O=C(Nc1ccc(NC(=O)C(F)(F)C(F)(F)C(F)(F)F)c(O)c1)C(Oc2ccc(cc2C(C)(C)CC)C(C)(C)CC)CC,Training,0.489,1.6135122,Train
310,355-46-4,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Training,3.6,3.4786327,Test
311,461-58-5,N#CNC(=N)N,Training,-0.016,0.030508675,Train
312,462-08-8,n1cccc(N)c1,Training,-0.188,0.6830842,Test
313,475-03-6,c1cc2c(cc1C)CCCC2(C)C,Training,3.33,2.8861563,Test
314,479-27-6,Nc1cccc2cccc(N)c12,Training,0.749,0.89314467,Train
315,482-89-3,O=C1c4ccccc4(NC1=C2Nc3ccccc3(C2(=O))),Training,0.456,1.5319498,Train
316,488-23-3,c1cc(c(c(c1C)C)C)C,Training,2.82,2.4307647,Train
317,493-02-7,C1CCC2CCCCC2(C1),Training,3.52,3.341619,Train
318,496-10-6,C1CCC2CCCC2(C1),Training,2.91,3.1504896,Valid
319,504-03-0,N1C(C)CCCC1C,Training,0.199,0.91797,Test
320,504-24-5,n1ccc(N)cc1,Training,0.224,0.55897593,Train
321,504-29-0,n1ccccc1N,Training,1.018,0.23235397,Train
323,512-56-1,O=P(OC)(OC)OC,Training,-0.259,-0.05508932,Valid
324,526-73-8,c1cc(c(c(c1)C)C)C,Training,2.321,2.5523891,Train
325,526-78-3,O=C(O)C(C(C(=O)O)Br)Br,Training,0.43,0.019500978,Train
326,527-60-6,Oc1c(cc(cc1C)C)C,Training,0.889,1.2458886,Train
327,534-52-1,O=[N+]([O-])c1cc(c(O)c(c1)C)[N+](=O)[O-],Training,0.043,0.42479113,Test
328,535-77-3,c1cc(cc(c1)C(C)C)C,Training,2.772,2.7911534,Train
329,538-75-0,C(=NC1CCCCC1)=NC2CCCCC2,Training,0.094,0.57144475,Train
330,541-73-1,c1cc(cc(c1)Cl)Cl,Training,2.54,2.841036,Train
331,542-18-7,C1CCC(CC1)Cl,Training,2.348,2.0487952,Train
332,544-01-4,O(CCC(C)C)CCC(C)C,Training,2.369,1.9614636,Test
333,544-76-3,CCCCCCCCCCCCCCCC,Training,1.654,2.6120965,Train
334,554-00-7,Nc1ccc(cc1Cl)Cl,Training,1.396,1.611789,Train
335,554-84-7,O=[N+]([O-])c1cccc(O)c1,Training,1.4,0.8343989,Train
336,555-03-3,O=[N+]([O-])c1cccc(OC)c1,Training,0.717,0.8425316,Train
338,569-64-2,c1ccc(cc1)C(c2ccc(cc2)N(C)C)=C3C=CC(C=C3)=[N+](C)C,Training,1.859,0.91010684,Train
339,575-41-7,c1ccc2c(c1)cc(cc2C)C,Training,3.374,3.2101855,Test
340,576-24-9,Oc1cccc(c1Cl)Cl,Training,1.323,1.5495582,Train
341,577-11-7,O=C(OCC(CC)CCCC)CC(C(=O)OCC(CC)CCCC)S(=O)(=O)O,Training,0.461,1.0354654,Train
342,579-10-2,O=C(N(c1ccccc1)C)C,Training,-0.052,1.407124,Train
343,581-40-8,c1ccc2cc(c(cc2(c1))C)C,Training,2.71,3.3839624,Train
344,583-78-8,Oc1cc(ccc1Cl)Cl,Training,1.214,1.5752243,Train
345,591-20-8,Oc1cccc(c1)Br,Training,1.017,1.3022155,Train
346,591-27-5,Oc1cccc(N)c1,Training,1.102,0.63402736,Test
347,591-35-5,Oc1cc(cc(c1)Cl)Cl,Training,1.916,1.5411359,Train
348,603-11-2,O=C(O)c1cccc(c1(C(=O)O))[N+](=O)[O-],Training,0.376,0.41071072,Train
349,605-02-7,c1ccc(cc1)c3cccc2ccccc23,Training,3.51,2.5159,Train
350,606-20-2,O=[N+]([O-])c1cccc(c1C)[N+](=O)[O-],Training,1.343,0.42547455,Train
351,606-28-0,O=C(OC)c2ccccc2(C(=O)c1ccccc1),Training,0.874,1.5818399,Train
352,608-93-5,c1c(c(c(c(c1Cl)Cl)Cl)Cl)Cl,Training,3.933,3.6749396,Valid
353,609-89-2,O=[N+]([O-])c1cc(cc(c1(O))Cl)Cl,Training,1.369,1.904938,Train
354,610-09-3,O=C(O)C1CCCCC1(C(=O)O),Training,-0.199,-0.048764367,Train
355,610-39-9,O=[N+]([O-])c1ccc(cc1[N+](=O)[O-])C,Training,-0.069,0.4882395,Train
356,611-21-2,c1ccc(c(c1)NC)C,Training,0.841,0.6929755,Test
357,612-22-6,O=[N+]([O-])c1ccccc1CC,Training,1.156,1.1181194,Train
358,613-12-7,c1ccc2cc3cc(ccc3(cc2(c1)))C,Training,2.41,2.7997699,Valid
359,615-54-3,c1cc(c(cc1Br)Br)Br,Training,3.41,3.3412225,Train
360,615-74-7,Oc1cc(ccc1Cl)C,Training,0.559,1.1542708,Valid
361,622-57-1,c1cc(ccc1NCC)C,Training,0.428,1.1834565,Test
362,623-26-7,N#Cc1ccc(C#N)cc1,Training,0.163,0.8059831,Test
363,626-17-5,N#Cc1cccc(C#N)c1,Training,0.398,0.36442083,Test
364,626-39-1,c1c(cc(cc1Br)Br)Br,Training,3.539,3.2931554,Valid
365,626-67-5,N1(C)CCCCC1,Training,0.364,0.43567327,Train
366,629-62-9,CCCCCCCCCCCCCCC,Training,1.382,2.7067397,Train
367,634-66-2,c1cc(c(c(c1Cl)Cl)Cl)Cl,Training,3.657,3.4503107,Test
368,634-67-3,Nc1ccc(c(c1Cl)Cl)Cl,Training,2,2.013324,Valid
369,634-90-2,c1c(cc(c(c1Cl)Cl)Cl)Cl,Training,3.121,3.5940835,Train
370,634-91-3,Nc1cc(c(c(c1)Cl)Cl)Cl,Training,2.36,1.9121567,Train
371,634-93-5,Nc1c(cc(cc1Cl)Cl)Cl,Training,2.078,2.034368,Test
372,636-28-2,c1c(c(cc(c1Br)Br)Br)Br,Training,3.799,3.173015,Train
373,636-30-6,Nc1cc(c(cc1Cl)Cl)Cl,Training,2.33,1.926256,Train
374,639-58-7,c1ccc(cc1)[Sn](c2ccccc2)(c3ccccc3)Cl,Training,3.141,3.1348548,Train
375,680-31-9,O=P(N(C)C)(N(C)C)N(C)C,Training,-0.801,-0.45251173,Valid
376,696-44-6,c1cc(cc(c1)C)NC,Training,0.846,0.7295538,Train
377,732-11-6,O=C1c2ccccc2(C(=O)N1CSP(OC)(OC)=S),Training,0.548,1.593362,Train
378,732-26-3,Oc1c(cc(cc1C(C)(C)C)C(C)(C)C)C(C)(C)C,Training,4.182,2.9963136,Train
379,760-23-6,C=CC(CCl)Cl,Training,0.604,0.72475696,Train
380,764-13-6,C(C=C(C)C)=C(C)C,Training,2.486,2.5431352,Valid
381,767-00-0,N#Cc1ccc(O)cc1,Training,0.91,0.49744132,Train
382,779-02-2,c1ccc3c(c1)cc2ccccc2c3C,Training,2.72,2.7202528,Train
383,782-74-1,c1ccc(c(c1)NNc2ccccc2Cl)Cl,Training,3.697,2.4899473,Train
384,791-31-1,O[Si](c1ccccc1)(c2ccccc2)c3ccccc3,Training,2.853,2.4011643,Train
385,829-26-5,c1cc(cc2cc(c(cc12)C)C)C,Training,3,3.3118339,Train
386,832-69-9,c1ccc3c(c1)ccc2c3(cccc2C),Training,3.18,2.6022596,Test
387,839-90-7,O=C1N(C(=O)N(C(=O)N1CCO)CCO)CCO,Training,-0.296,0.30206615,Train
388,872-05-9,C=CCCCCCCCC,Training,3.22,3.2957084,Train
389,873-63-2,OCc1cccc(c1)Cl,Training,1.336,0.77188206,Train
390,883-20-5,c1ccc2c(c1)cc(c3ccccc23)C,Training,2.562,2.7607808,Train
391,920-66-1,FC(F)(F)C(O)C(F)(F)F,Training,0.244,1.7527838,Train
392,933-12-0,C1=CC(C)CC(C)(C)C1,Training,2.87,2.6340404,Train
393,935-95-5,Oc1c(c(cc(c1Cl)Cl)Cl)Cl,Training,2.151,2.2521026,Train
394,938-86-3,O(c1cc(c(c(c1Cl)Cl)Cl)Cl)C,Training,3.35,2.5782413,Test
395,944-61-6,O(c1c(OC)c(c(c(c1Cl)Cl)Cl)Cl)C,Training,4.4,2.8431895,Train
396,947-04-6,O=C1NCCCCCCCCCCC1,Training,0.164,0.8065065,Valid
397,947-72-8,c1ccc2c(c1)cc(c3ccccc23)Cl,Training,3.464,3.437429,Train
398,950-37-8,O=C1N(N=C(OC)S1)CSP(OC)(OC)=S,Training,0.699,0.4427251,Train
399,961-11-5,O=P(OC(=CCl)c1cc(c(cc1Cl)Cl)Cl)(OC)OC,Training,1.65,1.8444088,Train
400,1014-70-6,n1c(nc(nc1NCC)SC)NCC,Training,0.31,1.3290181,Train
401,1067-97-6,O[Sn](CCCC)(CCCC)CCCC,Training,3.92,3.0610151,Train
402,1116-76-3,N(CCCCCCCC)(CCCCCCCC)CCCCCCCC,Training,1.969,0.7393336,Train
403,1141-38-4,O=C(O)c1ccc2cc(ccc2(c1))C(=O)O,Training,0.549,0.017707724,Train
405,1212-29-9,N(C(NC1CCCCC1)=S)C2CCCCC2,Training,0.651,0.58688843,Train
406,1241-94-7,O=P(Oc1ccccc1)(Oc2ccccc2)OCC(CC)CCCC,Training,2.688,2.074142,Train
407,1460-02-2,c1c(cc(cc1C(C)(C)C)C(C)(C)C)C(C)(C)C,Training,4.392,3.216428,Train
408,1461-22-9,CCCC[Sn](CCCC)(CCCC)Cl,Training,3.296,3.0975137,Train
409,1461-25-2,CCCC[Sn](CCCC)(CCCC)CCCC,Training,2.273,3.519047,Test
410,1477-55-0,NCc1cccc(c1)CN,Training,-0.046,0.80689144,Valid
411,1502-22-3,O=C1CCCCC1C2=CCCCC2,Training,0.59,0.70313656,Train
412,1570-64-5,Oc1ccc(cc1C)Cl,Training,1.216,1.0465738,Train
413,1582-09-8,O=[N+]([O-])c1cc(cc(c1N(CCC)CCC)[N+](=O)[O-])C(F)(F)F,Training,3.513,3.0545962,Train
414,1623-19-4,O=P(OCC=C)(OCC=C)OCC=C,Training,-0.09,0.23691781,Train
416,1678-98-4,CC(C)CC1CCCCC1,Training,3.3,3.3040886,Test
417,1712-70-5,C=C(c1ccc(cc1)Cl)C,Training,2.905,1.235773,Test
418,1746-01-6,O1c3cc(c(cc3(Oc2cc(c(cc12)Cl)Cl))Cl)Cl,Training,4.577,3.1710577,Train
419,1763-23-1,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Training,3.73,2.9478712,Train
420,1805-32-9,OCc1ccc(c(c1)Cl)Cl,Training,0.468,1.1588051,Train
421,1806-26-4,Oc1ccc(cc1)CCCCCCCC,Training,2.282,2.2669513,Test
422,1825-31-6,c1ccc2c(c1)c(ccc2Cl)Cl,Training,3.748,2.8609478,Test
423,1836-77-7,O=[N+]([O-])c2ccc(Oc1c(cc(cc1Cl)Cl)Cl)cc2,Training,3.305,2.7804816,Test
424,1839-63-0,CC1CC(C)CC(C)C1,Training,3.34,3.4613667,Train
425,1843-05-6,O=C(c1ccccc1)c2ccc(OCCCCCCCC)cc2(O),Training,2.119,2.5285013,Train
426,1897-45-6,N#Cc1c(c(C#N)c(c(c1Cl)Cl)Cl)Cl,Training,1.251,3.20481,Train
427,1912-24-9,n1c(nc(nc1NC(C)C)Cl)NCC,Training,0.557,0.94937104,Train
428,1934-21-0,O=C(O)C2=NN(C(=O)C2(N=Nc1ccc(cc1)S(=O)(=O)O))c3ccc(cc3)S(=O)(=O)O,Training,-0.03,0.37488514,Train
429,2027-17-0,c1ccc2cc(ccc2(c1))C(C)C,Training,4.111,3.0485075,Train
430,2042-14-0,O=[N+]([O-])c1cc(O)ccc1C,Training,1.034,1.1156746,Test
431,2050-67-1,c1cc(cc(c1)Cl)c2cccc(c2)Cl,Training,2.63,3.5621853,Valid
432,2050-68-2,c1cc(ccc1c2ccc(cc2)Cl)Cl,Training,3.58,3.2757535,Valid
433,2050-76-2,Oc2c1ccccc1c(cc2Cl)Cl,Training,1.019,2.7182417,Train
434,2104-64-5,O=[N+]([O-])c2ccc(OP(OCC)(c1ccccc1)=S)cc2,Training,2.705,2.053913,Train
435,2173-57-1,O(c1ccc2ccccc2(c1))CC(C)C,Training,2.93,2.1302257,Train
436,2216-51-5,OC1CC(C)CCC1(C(C)C),Training,0.892,2.37914,Train
437,2216-69-5,O(c1cccc2ccccc12)C,Training,2.314,2.2109096,Train
438,2243-62-1,Nc1cccc2c(N)cccc12,Training,0.27,1.2887678,Test
439,2371-42-8,OC1(C)(CC2CCC1(C)C2(C)(C)),Training,1.477,2.0335763,Train
440,2381-21-7,c1cc2ccc3ccc(c4ccc(c1)c2c34)C,Training,2.73,2.718,Train
441,2437-79-8,c1cc(cc(c1c2ccc(cc2Cl)Cl)Cl)Cl,Training,4.39,4.434573,Train
442,2440-02-0,C1(=C(C2(C(CC1(C2(Cl)Cl)Cl)Cl)Cl)Cl)Cl,Training,4.049,3.9646664,Train
443,2465-27-2,N=C(c1ccc(cc1)N(C)C)c2ccc(cc2)N(C)C,Training,1.072,1.8673216,Test
444,2498-66-0,O=C1c4ccccc4(C(=O)c2c3ccccc3(ccc12)),Training,1.57,2.0422366,Train
445,2581-34-2,O=[N+]([O-])c1ccc(O)cc1C,Training,1.26,0.90767187,Train
446,2631-40-5,O=C(Oc1ccccc1C(C)C)NC,Training,0.682,0.9945992,Train
447,2655-14-3,O=C(Oc1cc(cc(c1)C)C)NC,Training,0.298,1.1607627,Train
448,2668-47-5,Oc1c(cc(cc1C(C)(C)C)c2ccccc2)C(C)(C)C,Training,3.975,3.382893,Train
449,2764-72-9,c1cc[n+]3c(c1)c2cccc[n+]2CC3,Training,0.76,1.155016,Train
450,2885-00-9,CCCCCCCCCCCCCCCCCCS,Training,-0.038,1.6710066,Train
451,2921-88-2,n1c(OP(OCC)(OCC)=S)c(cc(c1Cl)Cl)Cl,Training,3.006,1.9058932,Train
452,3010-80-8,OC(c1ccc(cc1)Cl)(c2ccc(cc2)Cl)c3ccc(cc3)Cl,Training,3.95,2.6248837,Train
453,3074-71-3,CCCCC(C)C(C)C,Training,3.32,3.3560872,Train
455,3229-00-3,C(C(CBr)(CBr)CBr)Br,Training,2.404,0.66635996,Test
456,3296-90-0,OCC(CO)(CBr)CBr,Training,0.165,0.54385155,Train
457,3319-31-1,O=C(OCC(CC)CCCC)c1ccc(C(=O)OCC(CC)CCCC)c(c1)C(=O)OCC(CC)CCCC,Training,0.021,1.428286,Test
458,3380-34-5,Oc2cc(ccc2(Oc1ccc(cc1Cl)Cl))Cl,Training,1.67,3.6180797,Train
459,3389-71-7,C1=CC2(C(=C(C1(C2(Cl)Cl)Cl)Cl)Cl)Cl,Training,3.806,3.9222891,Train
460,3520-72-7,O=C5N(N=C(C)C5(N=Nc1ccc(cc1Cl)c4ccc(N=NC2C(=O)N(NC2(C))c3ccccc3)c(c4)Cl))c6ccccc6,Training,0.598,0.5439743,Train
461,3648-21-3,O=C(OCCCCCCC)c1ccccc1(C(=O)OCCCCCCC),Training,0.875,1.5026363,Train
462,3674-75-7,c1ccc2c(c1)cc(c3ccccc23)CC,Training,2.708,2.718,Train
463,3761-41-9,O=S(c1ccc(OP(OC)(OC)=S)cc1C)C,Training,0.135,1.5994178,Train
464,3761-42-0,O=S(=O)(c1ccc(OP(OC)(OC)=S)cc1C)C,Training,0.476,1.4945939,Train
465,3766-81-2,O=C(Oc1ccccc1C(C)CC)NC,Training,0.458,0.9402136,Train
